date_mesure,geocode_region,libelle_region,valeur
2017-01-01T00:00:00.000,76,Occitanie,5845102
2008-01-01T00:00:00.000,44,Grand Est,5521516
2017-01-01T00:00:00.000,75,Nouvelle-Aquitaine,5956978
2011-01-01T00:00:00.000,93,Provence-Alpes-Côte d'Azur,4916069
2008-01-01T00:00:00.000,94,Corse,302966
2012-01-01T00:00:00.000,11,Île-de-France,11898502
2024-01-01T00:00:00.000,75,Nouvelle-Aquitaine,6150451
2015-01-01T00:00:00.000,27,Bourgogne-Franche-Comté,2820940
2010-01-01T00:00:00.000,44,Grand Est,5532580
2013-01-01T00:00:00.000,24,Centre-Val de Loire,2570548
2006-01-01T00:00:00.000,01,Guadeloupe,400736
2012-01-01T00:00:00.000,24,Centre-Val de Loire,2563586
2025-01-01T00:00:00.000,01,Guadeloupe,384160
2007-01-01T00:00:00.000,28,Normandie,3278145
2017-01-01T00:00:00.000,84,Auvergne-Rhône-Alpes,7947332
2006-01-01T00:00:00.000,44,Grand Est,5490161
2009-01-01T00:00:00.000,02,Martinique,396404
2013-01-01T00:00:00.000,02,Martinique,385551
2018-01-01T00:00:00.000,04,La Réunion,855961
2020-01-01T00:00:00.000,84,Auvergne-Rhône-Alpes,8077748
2022-01-01T00:00:00.000,93,Provence-Alpes-Côte d'Azur,5170312
2016-01-01T00:00:00.000,84,Auvergne-Rhône-Alpes,7915918
2011-01-01T00:00:00.000,84,Auvergne-Rhône-Alpes,7633246
2009-01-01T00:00:00.000,32,Hauts-de-France,5943945
2008-01-01T00:00:00.000,01,Guadeloupe,401784
2017-01-01T00:00:00.000,52,Pays de la Loire,3751129
2021-01-01T00:00:00.000,02,Martinique,360749
2022-01-01T00:00:00.000,02,Martinique,361019
2016-01-01T00:00:00.000,28,Normandie,3335929
2007-01-01T00:00:00.000,44,Grand Est,5506686
2011-01-01T00:00:00.000,03,Guyane,237549
2025-01-01T00:00:00.000,93,Provence-Alpes-Côte d'Azur,5218960
2024-01-01T00:00:00.000,76,Occitanie,6124653
2007-01-01T00:00:00.000,94,Corse,299209
2020-01-01T00:00:00.000,76,Occitanie,5973969
2010-01-01T00:00:00.000,94,Corse,309693
2022-01-01T00:00:00.000,11,Île-de-France,12380964
2006-01-01T00:00:00.000,76,Occitanie,5310966
2019-01-01T00:00:00.000,53,Bretagne,3354854
2025-01-01T00:00:00.000,52,Pays de la Loire,3900305
2017-01-01T00:00:00.000,93,Provence-Alpes-Côte d'Azur,5030890
2013-01-01T00:00:00.000,01,Guadeloupe,402119
2023-01-01T00:00:00.000,52,Pays de la Loire,3900305
2020-01-01T00:00:00.000,93,Provence-Alpes-Côte d'Azur,5098666
2009-01-01T00:00:00.000,93,Provence-Alpes-Côte d'Azur,4889053
2019-01-01T00:00:00.000,28,Normandie,3325032
2025-01-01T00:00:00.000,53,Bretagne,3449370
2009-01-01T00:00:00.000,94,Corse,305674
2012-01-01T00:00:00.000,01,Guadeloupe,403314
2021-01-01T00:00:00.000,32,Hauts-de-France,5994957
2014-01-01T00:00:00.000,28,Normandie,3335645
2023-01-01T00:00:00.000,44,Grand Est,5563378
2016-01-01T00:00:00.000,02,Martinique,376480
2019-01-01T00:00:00.000,01,Guadeloupe,384239
2006-01-01T00:00:00.000,04,La Réunion,781962
2007-01-01T00:00:00.000,02,Martinique,397730
2025-01-01T00:00:00.000,27,Bourgogne-Franche-Comté,2802670
2022-01-01T00:00:00.000,53,Bretagne,3422845
2017-01-01T00:00:00.000,02,Martinique,372594
2016-01-01T00:00:00.000,53,Bretagne,3306529
2006-01-01T00:00:00.000,84,Auvergne-Rhône-Alpes,7356304
2014-01-01T00:00:00.000,27,Bourgogne-Franche-Comté,2820623
2019-01-01T00:00:00.000,75,Nouvelle-Aquitaine,6010289
2018-01-01T00:00:00.000,93,Provence-Alpes-Côte d'Azur,5052832
2023-01-01T00:00:00.000,02,Martinique,360630
2024-01-01T00:00:00.000,24,Centre-Val de Loire,2587031
2018-01-01T00:00:00.000,76,Occitanie,5885496
2020-01-01T00:00:00.000,44,Grand Est,5562651
2019-01-01T00:00:00.000,94,Corse,340440
2007-01-01T00:00:00.000,93,Provence-Alpes-Côte d'Azur,4864015
2008-01-01T00:00:00.000,24,Centre-Val de Loire,2531588
2023-01-01T00:00:00.000,28,Normandie,3345842
2024-01-01T00:00:00.000,28,Normandie,3345842
2020-01-01T00:00:00.000,02,Martinique,361225
2012-01-01T00:00:00.000,94,Corse,316257
2025-01-01T00:00:00.000,75,Nouvelle-Aquitaine,6150451
2017-01-01T00:00:00.000,11,Île-de-France,12174880
2012-01-01T00:00:00.000,03,Guyane,239648
2020-01-01T00:00:00.000,94,Corse,343701
2017-01-01T00:00:00.000,94,Corse,334938
2009-01-01T00:00:00.000,27,Bourgogne-Franche-Comté,2810648
2016-01-01T00:00:00.000,75,Nouvelle-Aquitaine,5935603
2007-01-01T00:00:00.000,84,Auvergne-Rhône-Alpes,7404233
2023-01-01T00:00:00.000,76,Occitanie,6124653
2013-01-01T00:00:00.000,04,La Réunion,835103
